---- Applied Jobs Data ---- created at: 2025-07-02 10:41
---- Number | Job | Company | Location | Result
1 | Frontend Web Developer II |  |  | 🥳 Applied | https://www.linkedin.com/jobs/view/4258749499
2 | Salon Experience Lead |  |  | 🥳 Applied | https://www.linkedin.com/jobs/view/4259240755
3 | Pasantía UX/UI & Product Designer |  |  | 🥵 Stopped – extra Qs | https://www.linkedin.com/jobs/view/4260437386
4 | Cardiac Care Registered Nurse |  |  | 🥳 Applied | https://www.linkedin.com/jobs/view/4260462377
5 | Sr. Test Automation Engineer |  |  | 🥳 Applied | https://www.linkedin.com/jobs/view/4260420079
6 | Scribe/Medical Assistant |  |  | 🥵 Stopped – extra Qs | https://www.linkedin.com/jobs/view/4260424781
7 | Administrative Assistant |  |  | 🥳 Applied | https://www.linkedin.com/jobs/view/4260456249
8 | Ingeniero Full Stack |  |  | 🥳 Applied | https://www.linkedin.com/jobs/view/4256950241
9 | Roku Developer |  |  | 🥳 Applied | https://www.linkedin.com/jobs/view/4258781840
1 | Front End Engineer |  |  | 🥵 Stopped – extra Qs | https://www.linkedin.com/jobs/view/4256910131
1 | Python Web App Developer |  |  | 🥳 Applied | https://www.linkedin.com/jobs/view/4252694740
2 | Scribe/Medical Assistant |  |  | 🥳 Applied | https://www.linkedin.com/jobs/view/4260424781
3 | Sr. Test Automation Engineer |  |  | 🥳 Already applied | https://www.linkedin.com/jobs/view/4260420079
4 | Frontend Web Developer II |  |  | 🥳 Already applied | https://www.linkedin.com/jobs/view/4258749499
5 | Full Stack Engineer |  |  | 🥳 Applied | https://www.linkedin.com/jobs/view/4260265542
6 | Salon Experience Lead |  |  | 🥳 Already applied | https://www.linkedin.com/jobs/view/4259240755
7 | Front End Engineer |  |  | 🥵 Stopped – extra Qs | https://www.linkedin.com/jobs/view/4256910131
8 | Roku Developer |  |  | 🥳 Already applied | https://www.linkedin.com/jobs/view/4258781840
9 | Ingeniero Full Stack |  |  | 🥳 Already applied | https://www.linkedin.com/jobs/view/4256950241
1 | Salon Experience Lead |  |  | 🥳 Already applied | https://www.linkedin.com/jobs/view/4259240755
2 | Software Dev Engineer |  |  | 🥳 Applied | https://www.linkedin.com/jobs/view/4259100066
